Fallacy,Example,Associated Court Judgment
Ad Hominem,"The opposing counsel is known for unethical behavior, so we should not trust their arguments.","Smith v. Jones, 2020"
Appeal to Authority,"The expert witness said it, so it must be true.","Doe v. State, 2018"
Begging the Question,The defendant is guilty because he's a criminal.,"People v. Johnson, 2019"
Post Hoc Fallacy,"After the new law was passed, crime rates went up. Therefore, the new law caused the increase in crime.","City v. Citizens, 2021"
Strawman Fallacy,"The plaintiff argues for stricter regulations on environmental issues, but what they really want is to shut down all businesses.","Environmental Watchdog v. Corporation X, 2017"
Hasty Generalization,"I've seen two similar cases, and in both instances, the defendant was guilty. Therefore, all similar cases must involve guilt.","State v. Parker, 2016"
Appeal to Emotion,Think of the children who will suffer if we don't impose stricter penalties!,"Family Services v. State, 2022"
Red Herring,"The prosecution claims the defendant stole the car, but let's focus on the defendant's troubled childhood instead.","Car Theft Case, 2014"
Appeal to Tradition,This law has been in place for decades; changing it would be a mistake.,"Historical Law Foundation v. Modern Reforms, 2023"
False Dichotomy,"Either we accept the plea deal, or we go to trial and risk a much harsher sentence.","State v. Rodriguez, 2015"
Ad Ignorantiam,"There is no evidence proving the defendant's innocence, so they must be guilty.","Innocence Project v. State, 2017"
Composition and Division,"The company as a whole is profitable, so every department must be profitable.","Labor Union v. Corporation Y, 2019"
Genetic Fallacy,"This legal theory originated from a discredited scholar; therefore, it's invalid.","Legal Theory Challenge, 2018"
Appeal to Popularity,"Most people believe the law is just, so it must be fair.","Public Opinion v. Legal Standards, 2020"
Appeal to Nature,"Natural remedies have been used for centuries; therefore, they must be effective in treating illnesses.","Health Products v. FDA, 2016"
Equivocation,"The law requires 'reasonable doubt,' and I have no doubts about the defendant's guilt, so it's reasonable to convict.","Reasonable Doubt Case, 2019"
False Analogy,"Just as a doctor can decide life-saving treatments, a judge can decide who lives and dies. Therefore, judges should have the same authority as doctors.","Medical Authority Comparison, 2021"
Appeal to Fear,"If we don't pass this law, our nation will be at risk of a terrorist attack.","National Security Bill, 2015"
Non Sequitur,"The defendant was at the crime scene; therefore, they must be the murderer.","Crime Scene Presence Case, 2018"
Selective Quotation,"The witness said, 'I saw the defendant with a knife.' However, they conveniently left out the part where the witness said it was a kitchen knife for cooking.","Witness Testimony Challenge, 2017"
Ad Hominem,"The defense lawyer has a history of defending criminals, so we cannot trust their arguments.","State v. Kapoor, 2019"
Appeal to Authority,The police officer's testimony is conclusive evidence because he is a senior officer.,"People v. Sharma, 2018"
Begging the Question,"The accused is guilty because he has a criminal record; therefore, he must have committed this crime.","Raj v. State, 2020"
Post Hoc Fallacy,"After the new law was enacted, there was an increase in protests. Hence, the law is the cause of the unrest.","Public Dissent Case, 2021"
Strawman Fallacy,"The petitioner wants better protection for whistleblowers, but opponents claim they are trying to undermine national security.","Whistleblower Rights v. National Security Act, 2017"
Hasty Generalization,"In previous cases involving similar circumstances, the defendants were found guilty. Therefore, the current defendant must also be guilty.","High Court v. Agarwal, 2016"
Appeal to Emotion,Think of the victims and their families; a lenient sentence would be an injustice to them.,"Sentencing Appeal, 2022"
Red Herring,"While the prosecution argues theft, let's focus on the defendant's political affiliations instead.","Political Figure v. State, 2014"
Appeal to Tradition,This law has been part of our legal system for decades; changing it would be an affront to our cultural values.,"Cultural Heritage Law Challenge, 2023"
False Dichotomy,"Either the accused confesses, or we assume their guilt and proceed to trial.","State v. Singh, 2015"
Ad Ignorantiam,"There's no evidence proving the defendant's innocence, so we must assume guilt.","Innocence Plea Rejection, 2017"
Composition and Division,"The organization is known for its charitable work; therefore, all its employees must be morally upright.","Charity Foundation v. Employee Dispute, 2019"
Genetic Fallacy,"This legal doctrine originated from an outdated source; hence, it should be disregarded.","Legal Doctrine Challenge, 2018"
Appeal to Popularity,"Most people believe the law is just, so it must be fair.","Public Perception v. Legal Standards, 2020"
Appeal to Nature,"Our cultural practices have been followed for centuries; therefore, they must align with legal principles.","Cultural Practices v. Legal Norms, 2016"
Equivocation,"The law requires 'reasonable doubt,' and I have no doubts about the defendant's guilt, so it's reasonable to convict.","Reasonable Doubt Case, 2019"
False Analogy,"Just as a doctor can decide life-saving treatments, a judge can decide who lives and dies. Therefore, judges should have the same authority as doctors.","Medical Authority Comparison, 2021"
Appeal to Fear,Failure to pass this law will expose our nation to increased security threats.,"National Security Legislation, 2015"
Non Sequitur,"The defendant was at the crime scene; therefore, they must be the perpetrator.","Crime Scene Presence Case, 2018"
Selective Quotation,"The witness said, 'I saw the defendant near the crime scene.' However, they conveniently omitted the part where the witness stated it was a coincidence and not involvement.","Witness Testimony Challenge, 2017"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
